,FollicleNumber,Follicle_type,Sample,size
0,Follicle0,Atretic,Immature,49
1,Follicle1,Antral,Immature,226
2,Follicle2,Preantral,Immature,16
3,Follicle3,Atretic,Immature,67
4,Follicle4,Preantral,Immature,16
5,Follicle5,Preantral,Immature,5
6,Follicle6,Atretic,Immature,75
7,Follicle7,Atretic,Immature,39
8,Follicle8,Atretic,Immature,57
9,Follicle9,Preantral,Immature,47
10,Follicle10,Atretic,Immature,122
11,Follicle11,Atretic,Immature,151
12,Follicle12,Atretic,Immature,167
13,Follicle13,Atretic,Immature,84
14,Follicle14,Antral,Immature,370
15,Follicle15,Atretic,Immature,147
16,Follicle16,Antral,Immature,85
17,Follicle17,Atretic,Immature,49
18,Follicle18,Antral,Immature,382
19,Follicle19,Atretic,Immature,107
20,Follicle20,Atretic,Immature,72
21,Follicle21,Atretic,Immature,68
22,Follicle22,Atretic,Immature,156
23,Follicle23,Atretic,Immature,29
24,Follicle24,Atretic,Immature,7
25,Follicle25,Atretic,Immature,297
26,Follicle26,Antral,Immature,407
27,Follicle27,Atretic,Immature,348
28,Follicle28,Antral,Immature,464
29,Follicle29,Antral,Immature,514
30,Follicle30,Preantral,Immature,20
31,Follicle31,Atretic,Immature,108
32,Follicle32,Preantral,Immature,1
33,Follicle34,Atretic,Immature,0
34,Follicle35,Antral,Immature,244
35,Follicle36,Preantral,Immature,106
36,Follicle37,Preantral,Immature,5
37,Follicle38,Preantral,Immature,10
38,Follicle39,Preantral,Immature,6
39,Follicle40,Antral,Immature,9
40,Follicle41,Antral,Immature,57
41,Follicle42,Atretic,Immature,72
42,Follicle43,Preantral,Immature,41
43,Follicle44,Atretic,Immature,12
44,Follicle45,Atretic,Immature,316
45,Follicle46,Preantral,Immature,133
46,Follicle47,Preantral,Immature,1
47,Follicle48,Preantral,Immature,80
48,Follicle49,Preantral,Immature,24
49,Follicle50,Preantral,Immature,4
50,Follicle51,Antral,Immature,6
51,Follicle52,Preantral,Immature,254
52,Follicle53,Preantral,Immature,8
53,Follicle54,Atretic,Immature,8
54,Follicle55,Antral,Immature,169
55,Follicle56,Antral,Immature,330
56,Follicle57,Atretic,Immature,31
57,Follicle58,Antral,Immature,126
58,Follicle59,Atretic,Immature,146
59,Follicle60,Antral,Immature,175
60,Follicle61,Atretic,Immature,151
61,Follicle62,Preantral,Immature,77
62,Follicle63,Preantral,Immature,39
64,Follicle64,Antral,Immature,16
65,Follicle65,Atretic,Immature,185
66,Follicle66,Atretic,Immature,133
67,Follicle67,Atretic,Immature,11
68,Follicle68,Atretic,Immature,93
69,Follicle69,Antral,Immature,282
70,Follicle70,Preantral,Immature,21
71,Follicle71,Preantral,Immature,6
73,Follicle72,Atretic,Immature,115
74,Follicle73,Atretic,Immature,77
75,Follicle74,Atretic,Immature,8
76,Follicle75,Atretic,Immature,132
77,Follicle76,Atretic,Immature,16
78,Follicle77,Atretic,Immature,170
79,Follicle78,Atretic,Immature,59
80,Follicle79,Atretic,Immature,15
81,Follicle80,Atretic,Immature,59
82,Follicle81,Antral,Immature,190
83,Follicle82,Atretic,Immature,90
84,Follicle83,Atretic,Immature,156
85,Follicle84,Antral,Immature,98
86,Follicle85,Atretic,Immature,90
87,Follicle86,Atretic,Immature,2
88,Follicle87,Preantral,Immature,12
89,Follicle88,Atretic,Immature,0
90,Follicle90,Preantral,Immature,43
91,Follicle91,Atretic,Immature,36
92,Follicle92,Atretic,Immature,96
93,Follicle93,Preantral,Immature,7
94,Follicle94,Preantral,Immature,11
95,Follicle95,Preantral,Immature,34
96,Follicle96,Preantral,Immature,44
97,Follicle97,Atretic,Immature,48
98,Follicle98,Atretic,Immature,59
99,Follicle99,Atretic,Immature,35
100,Follicle100,Preantral,Immature,36
101,Follicle101,Atretic,Immature,211
102,Follicle102,Antral,0hr,294
103,Follicle103,Preantral,0hr,137
104,Follicle104,Antral,0hr,280
105,Follicle105,Antral,0hr,186
106,Follicle106,Antral,0hr,344
107,Follicle107,Atretic,0hr,283
108,Follicle108,Preantral,0hr,180
109,Follicle109,Preantral,0hr,129
110,Follicle110,Preantral,0hr,89
111,Follicle111,Preantral,0hr,57
112,Follicle112,Preantral,0hr,58
113,Follicle113,Atretic,0hr,74
114,Follicle114,Atretic,0hr,263
115,Follicle115,Preantral,0hr,122
116,Follicle116,Atretic,0hr,190
117,Follicle117,Preantral,0hr,144
118,Follicle118,Antral,0hr,215
119,Follicle119,Preantral,0hr,166
120,Follicle120,Antral,0hr,327
121,Follicle121,Preantral,0hr,59
122,Follicle122,Preantral,0hr,53
123,Follicle123,Antral,0hr,396
124,Follicle124,Atretic,0hr,147
125,Follicle125,Preantral,0hr,39
126,Follicle126,Atretic,0hr,273
127,Follicle127,Preantral,0hr,19
128,Follicle128,Preantral,0hr,2
129,Follicle129,Antral,0hr,481
130,Follicle130,Preantral,0hr,37
131,Follicle131,Lytic,0hr,208
132,Follicle132,Lytic,0hr,131
133,Follicle133,Lytic,0hr,152
134,Follicle134,Atretic,0hr,29
135,Follicle135,Lytic,0hr,101
136,Follicle136,Preantral,0hr,85
137,Follicle138,Preantral,0hr,0
138,Follicle139,Lytic,0hr,6
139,Follicle140,Antral,0hr,94
140,Follicle141,Antral,1hr,84
141,Follicle142,Antral,1hr,477
142,Follicle143,Atretic,1hr,504
143,Follicle144,Antral,1hr,46
144,Follicle145,Atretic,1hr,460
145,Follicle146,Atretic,1hr,385
146,Follicle147,Antral,1hr,280
147,Follicle148,Atretic,1hr,262
148,Follicle149,Antral,1hr,29
149,Follicle150,Atretic,1hr,547
150,Follicle151,Antral,1hr,339
151,Follicle152,Antral,1hr,110
152,Follicle154,Atretic,1hr,376
153,Follicle156,Antral,1hr,0
154,Follicle157,Antral,1hr,61
155,Follicle158,Atretic,1hr,0
156,Follicle159,Antral,1hr,502
157,Follicle160,Antral,1hr,435
158,Follicle161,Atretic,1hr,277
159,Follicle162,Antral,1hr,382
160,Follicle163,Antral,1hr,294
161,Follicle164,Antral,1hr,56
162,Follicle165,Lytic,1hr,255
163,Follicle166,Antral,1hr,234
164,Follicle167,Atretic,1hr,446
165,Follicle168,Atretic,1hr,33
166,Follicle169,Lytic,1hr,678
167,Follicle170,Lytic,1hr,79
168,Follicle171,Antral,1hr,77
169,Follicle172,Antral,1hr,152
170,Follicle173,Atretic,1hr,209
171,Follicle174,Antral,1hr,446
172,Follicle175,Antral,1hr,70
173,Follicle176,Antral,1hr,110
174,Follicle177,Preantral,4hr,183
175,Follicle178,Antral,4hr,437
176,Follicle179,Antral,4hr,10
177,Follicle180,Lytic,4hr,15
178,Follicle181,Preantral,4hr,238
179,Follicle182,Atretic,4hr,609
180,Follicle183,Antral,4hr,225
181,Follicle184,Antral,4hr,39
182,Follicle185,Preantral,4hr,301
183,Follicle186,Antral,4hr,448
184,Follicle187,Preantral,4hr,249
185,Follicle188,Antral,4hr,110
186,Follicle189,Antral,4hr,413
187,Follicle190,Antral,4hr,125
188,Follicle191,Antral,4hr,540
189,Follicle192,Antral,4hr,273
190,Follicle193,Antral,4hr,252
191,Follicle194,Preantral,4hr,431
192,Follicle195,Preantral,4hr,351
193,Follicle196,Antral,4hr,674
194,Follicle197,Preantral,4hr,64
195,Follicle198,Preantral,4hr,158
196,Follicle199,Antral,4hr,459
197,Follicle200,Antral,4hr,53
198,Follicle201,Preantral,6hr,77
199,Follicle202,Preantral,6hr,526
200,Follicle203,Preantral,6hr,344
201,Follicle204,Antral,6hr,409
202,Follicle205,Antral,6hr,16
203,Follicle206,Antral,6hr,154
204,Follicle207,Antral,6hr,272
